customer_id,snapshot_date,county,sector,employment_type,gender,age,kyc_level,relationship_length_months,salary_inflow_flag,product_type,loan_balance_kes,credit_limit_kes,utilization_ratio,interest_rate,loan_term_months,collateral_value_kes,loan_to_value,bureau_score,num_active_loans,num_closed_loans,days_past_due,missed_payments_6m,avg_daily_balance_30d_kes,inflow_30d_kes,outflow_30d_kes,digital_txn_count_30d,atm_withdrawals_30d,branch_visits_30d,collection_contacted_after_snapshot,chargeoff_indicator,days_to_next_payment
C00036,2025-01-01,Nairobi,Salaried,Permanent,M,23,Tier1,55,1,Personal_Loan,441926.1,,,0.2764,18,0.0,5.0,668.2,3,0,0,4,0.0,67242.69,60917.46,24,4,0,0,0,24
C00044,2025-01-01,Kiambu,Agribusiness,Micro_Enterprise,M,36,Tier1,12,0,Personal_Loan,191592.53,,,0.1419,36,105762.83,1.8115,709.5,1,1,0,1,611.07,3023.25,2332.52,18,2,1,0,0,28
C00057,2025-01-01,Nyeri,Salaried,Permanent,F,45,Tier3,30,1,SME_Loan,979531.35,,,0.2445,24,0.0,5.0,627.3,3,2,0,0,4700.18,33002.38,35010.48,29,7,0,0,0,7
C00139,2025-01-01,Kisumu,Agribusiness,Micro_Enterprise,M,36,Tier3,80,0,Personal_Loan,345302.84,,,0.2182,18,409956.29,0.8423,650.3,1,1,7,1,2563.39,52236.0,66962.24,26,3,2,0,0,18
C00150,2025-01-01,Nairobi,Salaried,Permanent,F,23,Tier2,116,1,Overdraft,91355.41,390368.49,0.3314,0.1755,0,30987.22,2.9482,654.2,1,0,0,1,12375.23,73739.14,71671.92,19,2,0,0,0,25
C00160,2025-01-01,Machakos,Salaried,Permanent,M,56,Tier2,120,1,SME_Loan,869684.8,,,0.2686,12,674363.14,1.2896,665.8,4,1,4,2,10856.44,79139.4,117420.89,23,5,1,0,0,18
C00244,2025-01-01,Mombasa,Salaried,Contract,F,50,Tier2,115,1,Personal_Loan,396786.51,,,0.1947,36,476092.47,0.8334,595.2,1,1,0,1,51035.5,142511.87,170204.21,30,2,0,0,0,28
C00276,2025-01-01,Kakamega,SME_Trade,Self_Employed,F,42,Tier3,57,0,SME_Loan,738912.67,,,0.1818,36,,,648.0,1,1,0,0,4099.73,91232.93,81850.55,16,2,1,0,0,22
C00291,2025-01-01,Nyeri,Salaried,Permanent,F,57,Tier3,4,1,Overdraft,129924.18,148213.54,1.0714,0.1851,0,80269.11,1.6186,591.3,1,2,0,4,22401.89,155519.28,159150.33,27,4,0,0,0,19
C00297,2025-01-01,Nyeri,Salaried,Contract,F,59,Tier2,13,1,Personal_Loan,344185.81,,,0.2826,18,,,636.1,1,1,2,2,4997.58,36444.61,32099.7,35,3,0,0,0,31
C00300,2025-01-01,Kisumu,SME_Trade,Self_Employed,F,21,Tier2,53,0,Personal_Loan,339164.82,,,0.206,12,665530.31,0.5096,664.5,1,1,0,0,0.0,123616.39,101573.57,7,7,1,0,0,14
C00307,2025-01-01,Mombasa,SME_Services,Self_Employed,M,34,Tier3,101,0,SME_Loan,919494.98,,,0.2527,24,578534.44,1.5894,647.1,4,0,0,2,832.32,7989.95,5921.81,26,5,1,0,0,28
C00324,2025-01-01,Meru,SME_Services,Self_Employed,M,62,Tier2,18,1,Personal_Loan,264837.35,,,0.1998,18,416585.41,0.6357,736.7,1,1,6,1,4693.7,80653.72,80407.61,19,5,2,0,0,15
C00331,2025-01-01,Kiambu,SME_Trade,Self_Employed,F,45,Tier1,73,1,SME_Loan,578441.24,,,0.2886,24,0.0,5.0,564.9,3,1,4,1,4229.53,24350.35,23010.09,21,6,2,0,0,33
C00345,2025-01-01,Nakuru,Salaried,Permanent,M,61,Tier3,99,1,Personal_Loan,287820.29,,,0.246,24,869302.41,0.3311,654.7,1,1,3,1,5670.51,89757.6,75538.38,28,11,2,1,0,196
C00376,2025-01-01,Uasin Gishu,Hospitality,Self_Employed,F,25,Tier2,75,0,SME_Loan,1217291.95,,,0.1645,24,1080058.57,1.1271,551.5,4,0,1,2,634.91,87000.81,30563.8,16,6,1,0,0,10
C00421,2025-01-01,Uasin Gishu,Salaried,Permanent,F,62,Tier2,5,1,Personal_Loan,286656.97,,,0.2177,12,236873.55,1.2102,614.4,1,1,4,2,3461.29,44363.62,43565.03,24,4,1,0,0,7
C00436,2025-01-01,Nairobi,Other,Self_Employed,F,26,Tier1,117,0,SME_Loan,321432.04,,,0.2058,48,613679.82,0.5238,616.3,2,0,5,1,2304.05,13020.38,14582.35,14,4,4,0,0,22
C00494,2025-01-01,Kakamega,Salaried,Permanent,F,48,Tier1,11,1,Overdraft,0.0,217151.26,0.0,0.2266,0,182263.55,0.05,475.9,1,5,10,0,15949.53,213974.58,176952.33,27,4,0,1,0,213
C00505,2025-01-01,Nairobi,Transport,Micro_Enterprise,M,33,Tier1,81,0,Personal_Loan,384770.56,,,0.1554,36,12199.08,5.0,680.0,2,0,0,1,5439.97,39680.22,41138.79,18,6,1,1,1,176
C00529,2025-01-01,Kiambu,Salaried,Permanent,M,62,Tier2,95,1,Personal_Loan,111472.36,,,0.2666,18,0.0,5.0,689.9,1,2,8,1,11565.54,157351.64,197623.79,27,5,1,0,0,32
C00581,2025-01-01,Kiambu,SME_Services,Self_Employed,M,25,Tier2,104,0,SME_Loan,803995.86,,,0.1876,36,132216.54,5.0,725.7,4,0,8,3,10041.23,86852.54,77005.07,19,4,1,0,0,23
C00640,2025-01-01,Nairobi,Salaried,Permanent,F,63,Tier2,105,1,Personal_Loan,426316.88,,,0.1958,24,284697.64,1.4974,601.8,1,0,0,0,28925.61,143532.94,153622.01,28,7,0,0,0,22
C00656,2025-01-01,Kakamega,SME_Services,Micro_Enterprise,F,44,Tier2,77,1,Personal_Loan,271872.11,,,0.2372,24,,,500.4,1,0,0,4,5727.44,38543.34,38399.02,22,3,1,0,0,15
C00662,2025-01-01,Nairobi,Salaried,Permanent,M,54,Tier2,29,1,Personal_Loan,412958.79,,,0.2483,12,0.0,5.0,504.5,1,3,15,2,5671.87,90643.92,107165.98,18,7,0,0,0,165
C00742,2025-01-01,Kiambu,Hospitality,Self_Employed,F,55,Tier1,78,0,Personal_Loan,287057.2,,,0.198,36,1240943.18,0.2313,626.0,1,1,2,2,6617.37,23712.71,16656.16,22,7,2,0,0,25
C00791,2025-01-01,Kisumu,Other,Micro_Enterprise,M,25,Tier3,83,1,Credit_Card,19828.9,30000.0,1.441,0.2554,0,,,549.7,1,0,8,4,4481.91,35632.6,17279.57,24,8,3,0,0,23
C00811,2025-01-01,Uasin Gishu,SME_Services,Self_Employed,M,22,Tier2,81,0,Overdraft,273281.85,271630.95,1.0347,0.3251,0,0.0,5.0,564.7,1,1,6,2,3373.29,45482.37,58391.62,20,0,1,1,0,177
C00817,2025-01-01,Nakuru,Salaried,Permanent,F,22,Tier1,39,1,Personal_Loan,258470.41,,,0.1802,18,427318.48,0.6049,579.5,2,1,0,2,25332.97,107880.32,97598.85,23,7,1,0,0,14
C00828,2025-01-01,Mombasa,Agribusiness,Micro_Enterprise,M,61,Tier1,57,0,SME_Loan,563879.94,,,0.1768,24,127354.68,4.4276,687.6,1,2,0,1,0.0,0.0,0.0,21,3,1,0,0,25
C00831,2025-01-01,Nairobi,Agribusiness,Self_Employed,F,32,Tier2,77,0,SME_Loan,751736.56,,,0.226,36,456394.37,1.6471,650.3,1,1,0,1,23174.0,105939.35,105167.15,15,1,1,0,0,23
C00842,2025-01-01,Nairobi,Salaried,Permanent,M,50,Tier2,19,1,Overdraft,0.0,331955.41,0.0,0.2101,0,127861.89,0.05,682.7,1,1,3,1,3244.5,46010.2,63203.22,27,9,1,0,0,26
C00873,2025-01-01,Kiambu,Hospitality,Self_Employed,F,26,Tier2,16,0,Credit_Card,100598.54,133342.41,0.7717,0.3511,0,,,636.4,1,1,0,0,12919.91,39085.62,30352.91,26,9,1,0,0,11
C00888,2025-01-01,Nairobi,Transport,Self_Employed,F,29,Tier3,62,0,Credit_Card,128704.93,172757.47,0.833,0.2891,0,,,513.8,1,0,3,3,1681.92,9392.52,6932.55,21,5,2,0,0,26
C00938,2025-01-01,Nairobi,Construction,Self_Employed,M,27,Tier2,116,1,SME_Loan,207711.91,,,0.0779,24,385264.48,0.5391,613.0,1,0,2,1,15232.91,182747.32,177412.59,9,3,0,0,0,10
C00952,2025-01-01,Nakuru,Salaried,Permanent,M,34,Tier1,70,1,Overdraft,269747.31,50000.0,1.8,0.1363,0,0.0,5.0,729.5,1,1,8,1,6988.8,111128.4,142756.3,28,9,0,0,0,17
C00967,2025-01-01,Nakuru,Salaried,Contract,M,48,Tier2,59,1,Overdraft,136175.35,230296.77,0.6251,0.3336,0,68184.32,1.9972,619.8,1,0,0,0,13291.32,72504.19,76124.53,28,4,1,0,0,25
C00973,2025-01-01,Nakuru,SME_Trade,Micro_Enterprise,F,42,Tier2,116,0,Personal_Loan,594131.98,,,0.2965,18,595148.66,0.9983,711.6,1,4,0,1,10995.91,88270.66,77354.76,28,3,1,0,0,9
C00990,2025-01-01,Nakuru,SME_Services,Self_Employed,M,56,Tier3,30,1,Overdraft,141292.01,442722.92,0.2058,0.2162,0,203724.64,0.6935,693.8,2,0,3,0,8434.66,45220.4,26839.44,26,5,0,1,0,25
C01026,2025-01-01,Kiambu,Salaried,Contract,F,23,Tier3,70,1,Personal_Loan,367271.92,,,0.1812,18,503269.07,0.7298,678.8,2,2,0,0,24935.7,100405.74,78022.36,31,6,0,0,0,31
C01030,2025-01-01,Nairobi,Transport,Self_Employed,F,36,Tier1,53,0,SME_Loan,891117.45,,,0.1683,48,842927.76,1.0572,577.7,3,1,3,1,7578.38,56111.72,58044.9,16,1,2,0,0,25
C01033,2025-01-01,Mombasa,SME_Services,Micro_Enterprise,M,53,Tier1,53,0,Personal_Loan,560642.53,,,0.2267,24,441874.31,1.2688,715.1,4,0,0,2,10640.86,43593.28,39350.62,9,6,1,0,0,12
