customer_id,snapshot_date,county,sector,employment_type,gender,age,kyc_level,relationship_length_months,salary_inflow_flag,product_type,loan_balance_kes,credit_limit_kes,utilization_ratio,interest_rate,loan_term_months,collateral_value_kes,loan_to_value,bureau_score,num_active_loans,num_closed_loans,days_past_due,missed_payments_6m,avg_daily_balance_30d_kes,inflow_30d_kes,outflow_30d_kes,digital_txn_count_30d,atm_withdrawals_30d,branch_visits_30d,collection_contacted_after_snapshot,chargeoff_indicator,days_to_next_payment,default_next_90d
C00002,2025-01-01,Nairobi,SME_Trade,Self_Employed,F,55,Tier2,54,0,Overdraft,56179.31,80872.9,0.5216,0.2368,0,76021.0,0.739,574.5,2,0,5,2,1357.33,7894.09,9892.51,19,1,1,0,0,16,0
C00003,2025-01-01,Nairobi,Transport,Micro_Enterprise,M,50,Tier2,8,0,Personal_Loan,450538.61,,,0.1931,12,630402.25,0.7147,600.4,1,1,2,4,10.31,39.93,35.47,19,3,0,0,0,12,0
C00004,2025-01-01,Machakos,Transport,Self_Employed,M,40,Tier2,33,0,Personal_Loan,265596.61,,,0.1815,24,,,593.9,1,1,4,2,5929.4,32072.25,37980.5,21,1,1,1,0,33,0
C00008,2025-01-01,Kisumu,Salaried,Permanent,M,52,Tier1,49,1,Personal_Loan,252366.19,,,0.1619,36,1059737.14,0.2381,530.1,1,2,5,4,9418.58,42454.32,33203.74,24,14,1,0,0,9,0
C00014,2025-01-01,Kakamega,SME_Services,Self_Employed,F,55,Tier2,41,0,Overdraft,73486.85,441191.3,0.2052,0.2288,0,234591.08,0.3133,643.8,1,1,0,1,3623.02,34308.21,18283.94,22,3,1,1,0,7,0
C00015,2025-01-01,Mombasa,SME_Trade,Micro_Enterprise,F,53,Tier2,56,0,Personal_Loan,506122.34,,,0.2419,24,475411.73,1.0646,503.0,2,0,7,4,36060.33,134529.69,112158.25,20,3,0,0,0,33,0
C00017,2025-01-01,Mombasa,Transport,Self_Employed,M,44,Tier1,79,1,Personal_Loan,128766.48,,,0.2322,24,748587.7,0.172,560.9,1,0,4,1,0.0,0.0,0.0,23,9,2,0,0,19,0
C00019,2025-01-01,Kakamega,SME_Services,Self_Employed,F,58,Tier2,69,0,Overdraft,9478.34,432465.15,0.0181,0.339,0,,,642.4,1,0,0,0,8108.84,53894.93,41201.26,19,3,1,0,0,28,0
C00023,2025-01-01,Meru,SME_Services,Self_Employed,M,29,Tier2,105,1,Overdraft,225564.78,307023.58,0.863,0.1977,0,161673.26,1.3952,741.0,1,0,2,3,39587.91,112880.45,72748.49,21,4,4,0,0,18,0
C00027,2025-01-01,Nakuru,SME_Trade,Micro_Enterprise,M,39,Tier1,70,0,Personal_Loan,295939.64,,,0.2543,24,477915.19,0.6192,631.5,1,2,0,3,13206.25,69711.41,47487.08,9,8,1,0,0,9,0
C00030,2025-01-01,Kiambu,Salaried,Permanent,M,40,Tier2,15,1,Personal_Loan,88839.07,,,0.1534,18,0.0,5.0,689.8,1,3,2,2,9913.07,70798.3,75413.57,14,6,1,0,0,10,0
C00031,2025-01-01,Nyeri,SME_Services,Self_Employed,F,41,Tier1,68,0,Personal_Loan,209645.82,,,0.1491,12,691138.36,0.3033,571.0,1,0,9,2,9000.5,33355.69,30943.75,21,8,1,0,0,22,0
C00035,2025-01-01,Nairobi,Agribusiness,Micro_Enterprise,F,60,Tier2,104,0,Personal_Loan,389756.33,,,0.2391,18,538947.27,0.7232,644.0,1,2,12,1,4173.24,24693.92,34962.79,15,4,1,0,0,11,0
C00041,2025-01-01,Mombasa,Construction,Micro_Enterprise,M,28,Tier2,56,0,Overdraft,166688.28,50000.0,1.8,0.2659,0,251950.73,0.6616,540.1,1,0,1,1,390.03,49552.41,64085.86,15,2,3,0,0,28,0
C00042,2025-01-01,Kisumu,Construction,Micro_Enterprise,F,55,Tier3,9,1,Overdraft,316500.37,350312.58,0.8699,0.2037,0,104898.39,3.0172,633.7,2,2,4,2,0.0,16349.13,13593.79,24,4,1,0,0,31,0
C00046,2025-01-01,Uasin Gishu,SME_Services,Micro_Enterprise,F,64,Tier2,90,0,Personal_Loan,118973.86,,,0.2837,12,198224.29,0.6002,675.5,2,1,0,0,19509.77,61650.39,47507.78,15,6,0,0,0,21,0
C00048,2025-01-01,Nairobi,SME_Services,Self_Employed,F,61,Tier2,30,0,Personal_Loan,197821.73,,,0.1884,36,245338.4,0.8063,671.0,1,3,2,0,8407.55,108805.06,93027.01,18,2,4,0,0,8,0
C00056,2025-01-01,Uasin Gishu,SME_Services,Self_Employed,M,22,Tier3,51,0,Personal_Loan,303507.87,,,0.2375,24,0.0,5.0,564.5,1,0,7,2,3307.59,16530.06,17174.6,19,4,1,0,0,28,0
C00058,2025-01-01,Nairobi,Transport,Micro_Enterprise,F,27,Tier1,67,0,Credit_Card,12096.56,170536.53,0.0956,0.2509,0,,,661.6,1,0,7,0,11492.61,70197.56,48305.7,20,6,3,0,0,13,0
C00059,2025-01-01,Nairobi,Construction,Micro_Enterprise,F,54,Tier1,20,0,Overdraft,108634.74,116761.09,1.0282,0.1733,0,174151.06,0.6238,668.8,1,2,2,2,0.0,10377.72,5406.18,14,3,0,0,0,25,0
C00067,2025-01-01,Nairobi,Construction,Micro_Enterprise,M,61,Tier2,4,0,SME_Loan,822391.77,,,0.2803,12,0.0,5.0,844.4,2,1,1,1,22165.09,74958.88,66854.64,16,7,0,0,0,9,0
C00069,2025-01-01,Kisumu,Agribusiness,Self_Employed,M,24,Tier1,6,0,Overdraft,200257.61,256412.01,0.8494,0.1968,0,64187.23,3.1199,659.2,1,0,3,1,3230.74,52289.67,30617.05,16,0,0,0,0,33,0
C00070,2025-01-01,Mombasa,Construction,Micro_Enterprise,M,42,Tier2,31,0,Personal_Loan,269247.54,,,0.1407,18,562815.56,0.4784,643.9,1,0,2,0,11378.15,34807.27,24098.56,16,7,3,0,0,13,0
C00073,2025-01-01,Meru,SME_Services,Self_Employed,M,41,Tier2,57,0,SME_Loan,925521.71,,,0.092,24,,,656.6,5,1,0,0,5916.21,37773.11,25923.29,20,6,0,0,0,20,0
